year,country,sex,life_expectancy,ci_low,ci_high
2000,Bhutan,Both sexes,65.98956136,65.33172022,66.84030822
2000,Bhutan,Female,66.2722104,65.49244366,67.08741992
2000,Bhutan,Male,65.73343326,65.09597721,66.57054852
2001,Bhutan,Both sexes,67.18030943,66.59477592,67.91667677
2001,Bhutan,Female,67.66307189,66.96468772,68.37002064
2001,Bhutan,Male,66.74868438,66.01778446,67.59739761
2002,Bhutan,Both sexes,67.84566543,67.08312422,68.55874474
2002,Bhutan,Female,68.42728948,67.66429417,69.07089765
2002,Bhutan,Male,67.32682374,66.58436292,68.07177646
2003,Bhutan,Both sexes,68.38453582,67.76693329,69.15398451
2003,Bhutan,Female,69.08543247,68.50817999,69.71220983
2003,Bhutan,Male,67.76360524,67.13570841,68.44070641
2004,Bhutan,Both sexes,68.88514264,68.22949161,69.60447302
2004,Bhutan,Female,69.63696233,69.09666521,70.3409005
2004,Bhutan,Male,68.22214206,67.65290227,68.97389639
2005,Bhutan,Both sexes,69.36895355,68.77192064,70.04125194
2005,Bhutan,Female,70.18354269,69.60447815,70.87214618
2005,Bhutan,Male,68.65292105,67.99446791,69.35346378
2006,Bhutan,Both sexes,69.95563044,69.4355337,70.51289487
2006,Bhutan,Female,70.84582071,70.19377313,71.59646198
2006,Bhutan,Male,69.17739464,68.67982739,69.88847867
2007,Bhutan,Both sexes,70.47630807,69.88566417,71.19169627
2007,Bhutan,Female,71.4364899,70.8791057,72.03078995
2007,Bhutan,Male,69.63821546,69.03700375,70.44670559
2008,Bhutan,Both sexes,70.90903814,70.34831448,71.60178554
2008,Bhutan,Female,71.95448217,71.33414828,72.63235382
2008,Bhutan,Male,69.99723771,69.49708764,70.67426547
2009,Bhutan,Both sexes,71.27007127,70.59098076,71.9648916
2009,Bhutan,Female,72.38116231,71.80444856,73.06560249
2009,Bhutan,Male,70.30226505,69.68306912,70.99591756
2010,Bhutan,Both sexes,71.72710313,71.11905843,72.47211409
2010,Bhutan,Female,72.86014197,72.16979984,73.42025363
2010,Bhutan,Male,70.73973084,70.11272857,71.48369159
2011,Bhutan,Both sexes,72.1269544,71.53161242,72.84230732
2011,Bhutan,Female,73.27198023,72.7154105,73.96180781
2011,Bhutan,Male,71.12761727,70.53679907,71.91843378
2012,Bhutan,Both sexes,72.45535288,71.85501569,73.12778471
2012,Bhutan,Female,73.6070744,73.12573428,74.20883648
2012,Bhutan,Male,71.44871034,70.88853413,72.03940851
2013,Bhutan,Both sexes,72.72164626,72.17959026,73.36762343
2013,Bhutan,Female,73.87147703,73.27350524,74.47725788
2013,Bhutan,Male,71.71476528,71.04719231,72.40838173
2014,Bhutan,Both sexes,72.91360226,72.35818802,73.56412914
2014,Bhutan,Female,74.06622515,73.51895768,74.78538317
2014,Bhutan,Male,71.90211137,71.3150676,72.67128785
2015,Bhutan,Both sexes,73.07489389,72.54052973,73.76633725
2015,Bhutan,Female,74.24073046,73.7062613,74.96810485
2015,Bhutan,Male,72.05049422,71.368036,72.67350807
2016,Bhutan,Both sexes,73.28424565,72.61706729,73.93219602
2016,Bhutan,Female,74.44584158,73.78528479,75.09062522
2016,Bhutan,Male,72.26459708,71.44678634,72.94925501
2017,Bhutan,Both sexes,73.54716542,72.85486046,74.22687018
2017,Bhutan,Female,74.71875176,74.03740015,75.46002295
2017,Bhutan,Male,72.5154983,71.81261857,73.22900801
2018,Bhutan,Both sexes,73.75301201,73.1142914,74.55110585
2018,Bhutan,Female,74.94852418,74.30722839,75.63214889
2018,Bhutan,Male,72.69366958,72.03828214,73.34975806
2019,Bhutan,Both sexes,73.93027807,73.31442732,74.60769358
2019,Bhutan,Female,75.12568551,74.51978415,75.83399241
2019,Bhutan,Male,72.86801769,72.18751811,73.50013162
2020,Bhutan,Both sexes,74.45119684,73.89007105,75.19224116
2020,Bhutan,Female,75.9050448,75.26754146,76.4489783
2020,Bhutan,Male,73.16909282,72.57896314,73.81862095
2021,Bhutan,Both sexes,74.87642848,74.16057874,75.5291529
2021,Bhutan,Female,75.9397559,75.47797873,76.66414073
2021,Bhutan,Male,73.9272062,73.24661751,74.75226079
