year,country,sex,life_expectancy,ci_low,ci_high,years_since_2000,is_female,is_male,ci_span,life_expectancy_3yr_ma
2000,Bhutan,Both sexes,65.98956136,65.33172022,66.84030822,0,0,0,1.5085880000000031,65.98956136
2001,Bhutan,Both sexes,67.18030943,66.59477592,67.91667677,1,0,0,1.3219008499999916,66.584935395
2002,Bhutan,Both sexes,67.84566543,67.08312422,68.55874474,2,0,0,1.4756205199999926,67.00517874
2003,Bhutan,Both sexes,68.38453582,67.76693329,69.15398451,3,0,0,1.3870512200000036,67.80350356000001
2004,Bhutan,Both sexes,68.88514264,68.22949161,69.60447302,4,0,0,1.3749814100000037,68.37178129666665
2005,Bhutan,Both sexes,69.36895355,68.77192064,70.04125194,5,0,0,1.2693312999999904,68.87954400333332
2006,Bhutan,Both sexes,69.95563044,69.4355337,70.51289487,6,0,0,1.0773611700000032,69.40324220999999
2007,Bhutan,Both sexes,70.47630807,69.88566417,71.19169627,7,0,0,1.306032099999996,69.93363068666667
2008,Bhutan,Both sexes,70.90903814,70.34831448,71.60178554,8,0,0,1.2534710599999954,70.44699221666667
2009,Bhutan,Both sexes,71.27007127,70.59098076,71.9648916,9,0,0,1.3739108400000077,70.88513916000001
2010,Bhutan,Both sexes,71.72710313,71.11905843,72.47211409,10,0,0,1.3530556600000097,71.30207084666667
2011,Bhutan,Both sexes,72.1269544,71.53161242,72.84230732,11,0,0,1.3106949000000014,71.70804293333335
2012,Bhutan,Both sexes,72.45535288,71.85501569,73.12778471,12,0,0,1.2727690199999984,72.10313680333333
2013,Bhutan,Both sexes,72.72164626,72.17959026,73.36762343,13,0,0,1.188033169999997,72.43465118
2014,Bhutan,Both sexes,72.91360226,72.35818802,73.56412914,14,0,0,1.2059411200000056,72.69686713333334
2015,Bhutan,Both sexes,73.07489389,72.54052973,73.76633725,15,0,0,1.2258075200000036,72.90338080333333
2016,Bhutan,Both sexes,73.28424565,72.61706729,73.93219602,16,0,0,1.315128730000012,73.09091393333334
2017,Bhutan,Both sexes,73.54716542,72.85486046,74.22687018,17,0,0,1.3720097200000083,73.30210165333334
2018,Bhutan,Both sexes,73.75301201,73.1142914,74.55110585,18,0,0,1.43681445,73.52814102666666
2019,Bhutan,Both sexes,73.93027807,73.31442732,74.60769358,19,0,0,1.29326626000001,73.74348516666667
2020,Bhutan,Both sexes,74.45119684,73.89007105,75.19224116,20,0,0,1.3021701099999916,74.04482897333334
2021,Bhutan,Both sexes,74.87642848,74.16057874,75.5291529,21,0,0,1.3685741599999943,74.41930113
2000,Bhutan,Female,66.2722104,65.49244366,67.08741992,0,1,0,1.5949762599999957,66.2722104
2001,Bhutan,Female,67.66307189,66.96468772,68.37002064,1,1,0,1.4053329200000064,66.967641145
2002,Bhutan,Female,68.42728948,67.66429417,69.07089765,2,1,0,1.4066034800000011,67.45419059
2003,Bhutan,Female,69.08543247,68.50817999,69.71220983,3,1,0,1.204029840000004,68.39193128
2004,Bhutan,Female,69.63696233,69.09666521,70.3409005,4,1,0,1.244235290000006,69.04989476
2005,Bhutan,Female,70.18354269,69.60447815,70.87214618,5,1,0,1.2676680299999958,69.63531249666667
2006,Bhutan,Female,70.84582071,70.19377313,71.59646198,6,1,0,1.402688850000004,70.22210857666666
2007,Bhutan,Female,71.4364899,70.8791057,72.03078995,7,1,0,1.1516842500000024,70.82195109999999
2008,Bhutan,Female,71.95448217,71.33414828,72.63235382,8,1,0,1.298205540000012,71.41226426
2009,Bhutan,Female,72.38116231,71.80444856,73.06560249,9,1,0,1.261153930000006,71.92404479333334
2010,Bhutan,Female,72.86014197,72.16979984,73.42025363,10,1,0,1.2504537900000088,72.39859548333334
2011,Bhutan,Female,73.27198023,72.7154105,73.96180781,11,1,0,1.2463973099999919,72.83776150333334
2012,Bhutan,Female,73.6070744,73.12573428,74.20883648,12,1,0,1.083102199999999,73.24639886666667
2013,Bhutan,Female,73.87147703,73.27350524,74.47725788,13,1,0,1.2037526399999905,73.58351055333333
2014,Bhutan,Female,74.06622515,73.51895768,74.78538317,14,1,0,1.2664254900000032,73.84825885999999
2015,Bhutan,Female,74.24073046,73.7062613,74.96810485,15,1,0,1.261843550000009,74.05947754666666
2016,Bhutan,Female,74.44584158,73.78528479,75.09062522,16,1,0,1.305340430000001,74.25093239666667
2017,Bhutan,Female,74.71875176,74.03740015,75.46002295,17,1,0,1.4226227999999992,74.46844126666666
2018,Bhutan,Female,74.94852418,74.30722839,75.63214889,18,1,0,1.3249204999999904,74.70437250666667
2019,Bhutan,Female,75.12568551,74.51978415,75.83399241,19,1,0,1.3142082599999867,74.93098715
2020,Bhutan,Female,75.9050448,75.26754146,76.4489783,20,1,0,1.1814368399999893,75.32641816333334
2021,Bhutan,Female,75.9397559,75.47797873,76.66414073,21,1,0,1.186161999999996,75.65682873666667
2000,Bhutan,Male,65.73343326,65.09597721,66.57054852,0,0,1,1.4745713100000017,65.73343326
2001,Bhutan,Male,66.74868438,66.01778446,67.59739761,1,0,1,1.5796131500000001,66.24105882
2002,Bhutan,Male,67.32682374,66.58436292,68.07177646,2,0,1,1.4874135399999915,66.60298046
2003,Bhutan,Male,67.76360524,67.13570841,68.44070641,3,0,1,1.3049979999999977,67.27970445333334
2004,Bhutan,Male,68.22214206,67.65290227,68.97389639,4,0,1,1.3209941199999946,67.77085701333334
2005,Bhutan,Male,68.65292105,67.99446791,69.35346378,5,0,1,1.358995870000001,68.21288944999999
2006,Bhutan,Male,69.17739464,68.67982739,69.88847867,6,0,1,1.208651279999998,68.68415258333333
2007,Bhutan,Male,69.63821546,69.03700375,70.44670559,7,0,1,1.4097018399999968,69.15617705000001
2008,Bhutan,Male,69.99723771,69.49708764,70.67426547,8,0,1,1.1771778299999909,69.60428260333333
2009,Bhutan,Male,70.30226505,69.68306912,70.99591756,9,0,1,1.3128484399999962,69.97923940666666
2010,Bhutan,Male,70.73973084,70.11272857,71.48369159,10,0,1,1.370963020000005,70.34641119999999
2011,Bhutan,Male,71.12761727,70.53679907,71.91843378,11,0,1,1.3816347100000002,70.72320438666667
2012,Bhutan,Male,71.44871034,70.88853413,72.03940851,12,0,1,1.1508743800000047,71.10535281666667
2013,Bhutan,Male,71.71476528,71.04719231,72.40838173,13,0,1,1.3611894200000023,71.43036429666667
2014,Bhutan,Male,71.90211137,71.3150676,72.67128785,14,0,1,1.3562202499999927,71.68852899666666
2015,Bhutan,Male,72.05049422,71.368036,72.67350807,15,0,1,1.3054720699999933,71.88912362333333
2016,Bhutan,Male,72.26459708,71.44678634,72.94925501,16,0,1,1.502468669999999,72.07240089
2017,Bhutan,Male,72.5154983,71.81261857,73.22900801,17,0,1,1.4163894400000032,72.27686320000001
2018,Bhutan,Male,72.69366958,72.03828214,73.34975806,18,0,1,1.3114759199999924,72.49125498666668
2019,Bhutan,Male,72.86801769,72.18751811,73.50013162,19,0,1,1.3126135100000056,72.69239519
2020,Bhutan,Male,73.16909282,72.57896314,73.81862095,20,0,1,1.239657809999997,72.91026003
2021,Bhutan,Male,73.9272062,73.24661751,74.75226079,21,0,1,1.505643280000001,73.32143890333333
